Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
7/11/2008,27.854,0,34.5,20.5,4.98,1.07,0
7/12/2008,27.854,0,36,20.5,5.76,1.06,0
7/13/2008,27.893,0,36,21,7.33,1.22,0
7/14/2008,27.893,0,36,22,7.71,0.96,0
7/15/2008,27.893,0,35.5,22,7.35,1.17,0
7/16/2008,27.893,0,35,22,6.08,1.39,0
7/17/2008,27.893,0,33.5,21.5,5.95,0.82,0
7/18/2008,27.893,12.8,34,21,4.15,0.76,0
7/19/2008,27.933,1.4,31.5,20,12.8,1.26,0
7/20/2008,27.933,0,33.5,20,3.85,0,0
7/21/2008,28.012,0,34.5,21.5,5.79,0.94,0
7/22/2008,28.012,0,35.5,19.5,6.12,0.78,0
7/23/2008,28.091,0.2,33.5,19,5.44,0.93,0
7/24/2008,27.893,0,30,23.5,3.32,1.13,0
7/25/2008,27.814,0,33.5,23,2.02,1.5,0
7/26/2008,27.814,0,35.5,21,3.02,0.82,0
7/27/2008,27.814,0,37,21,5.38,0.93,0
7/28/2008,27.814,0,38,20,6.81,0.95,0
7/29/2008,27.814,0,37,21,5.47,1.85,0
7/30/2008,27.775,0,37.5,23.5,6.43,1.29,0
7/31/2008,27.696,0,38,24.5,7.3,1.43,0
8/1/2008,27.617,0,35.5,23.5,6.9,1.44,0
8/2/2008,27.577,0,38,23.5,5.09,1.45,0
8/3/2008,27.459,0,37.5,22,6.48,1.66,0
8/4/2008,27.459,0,38,20.5,7.15,0.92,0
8/5/2008,27.459,0,38,20.5,7.23,0.85,0
8/6/2008,27.38,0,38.5,22.5,6.14,1.52,0
8/7/2008,27.301,0,37.5,21.5,6.6,1.3,0
8/8/2008,27.261,0.7,38.5,22,5.94,1.38,0
8/9/2008,27.182,0,39,23,5.32,0,0
8/10/2008,27.103,0,40.5,23,5.87,0,0
8/11/2008,27.064,0,40.5,24.5,7.06,1.25,0
8/12/2008,27.024,0,40.5,23,7.34,0.84,0
8/13/2008,26.985,9.4,42.5,23.5,7.58,1.39,0
8/14/2008,27.064,0.7,37,23,9.19,1.02,0
8/15/2008,27.024,0,35.5,22.5,4.27,1.4,0
8/16/2008,26.985,15.3,36,23.5,4.14,1.42,0
8/17/2008,27.103,11.4,33,24,4.9,1.55,0
8/18/2008,27.143,7.5,31.5,23,3.16,0.94,0
8/19/2008,27.38,29.5,33.5,22,3.08,0.83,0
8/20/2008,27.577,0,35.5,21,4.25,1.2,0
8/21/2008,27.538,11.4,34.5,21,5.03,1.41,0
8/22/2008,27.617,9,32.5,21.5,5.33,1.42,0
8/23/2008,27.617,3,30.5,24,1.59,1.42,0
8/24/2008,27.696,12.4,24.5,22.5,2.37,0,0
8/25/2008,27.893,71,27.5,22.5,0.51,0.94,0
8/26/2008,29.767,1,30.5,22.5,0.65,0.81,0
8/27/2008,30.021,0.5,32,22.5,3.82,0.82,0
8/28/2008,30.191,0,30,23.5,1.75,0.79,0
8/29/2008,30.233,17.3,30,24,1.89,0.74,0
8/30/2008,30.953,5,28,22,3.28,0.77,0
8/31/2008,31.461,0.4,30.5,20,3.13,0.88,0
9/1/2008,31.758,0,34,20,1.65,0.94,0
9/2/2008,31.927,0,36.5,20.5,4.55,0.82,0
9/3/2008,32.012,1,37,20.5,4.65,0.82,0
9/4/2008,32.139,102.7,34.5,21,5.25,0.82,0
9/5/2008,38.471,50.6,31,22,5.1,0.8,28.7
9/6/2008,37.644,0,29,22,5.9,1.24,28.36
9/7/2008,35.003,0,32,21.5,2.11,2.08,26.97
9/8/2008,32.096,32.2,30.5,21.5,3.36,1.76,0
9/9/2008,32.308,5,30.5,21.5,4.5,1.39,0
9/10/2008,32.478,3.6,28.5,22,2.35,0,0
9/11/2008,32.56,0,28,22.5,2.37,2.09,0
9/12/2008,32.435,0,32,23.5,2.41,2.93,0
9/13/2008,32.35,4.7,35.5,24.5,2.75,2.68,0
9/14/2008,32.181,40.4,32,23.5,4.51,3.42,3.42
9/15/2008,32.435,68,22,22,2.57,3.6,0
9/16/2008,35.048,0,26.5,17,1.1,3.32,0
9/17/2008,32.917,0,29,15.5,3.52,3.87,0
9/18/2008,32.139,0,29,14.5,3.85,2.82,0
9/19/2008,32.393,0,29.5,16,3.02,2.79,0
9/20/2008,32.52,0,31.5,17,3.12,2.82,0
9/21/2008,32.52,0,30.5,18,3.07,3.51,0
9/22/2008,32.478,18,30.5,18,3.01,3.59,0
9/23/2008,32.695,111.3,29.5,20.5,2.84,2.81,0
9/24/2008,35.447,135.5,22.5,21.5,2.05,1.54,0
9/25/2008,40.007,0,29.5,20,1.08,1.57,0
9/26/2008,34.204,0,29,18,2.12,1.47,0
9/27/2008,33.228,0,30,15,2.6,1.43,0
9/28/2008,34.515,0,30.5,15,4.31,2.17,3.46
9/29/2008,35.358,0,31,16,3.06,2.4,3.48
9/30/2008,35.98,0,32.5,13.5,3.7,2.05,3.49
10/1/2008,36.423,0,33,12,4.21,2.75,3.5
10/2/2008,36.823,0,33,12.5,4.4,2.68,3.42
10/3/2008,37.23,0,31.5,13,3.13,0,3.52
10/4/2008,36.068,0,31,14.5,2.91,1.99,2.75
10/5/2008,33.139,0,31.5,16.5,2.59,2.42,29.26
10/6/2008,31.715,0,32.5,16.5,2.81,2.35,0
10/7/2008,30.276,12.8,32.5,16.5,3.69,1.93,2.41
10/8/2008,30.403,27.8,23,19.5,2.78,1.7,3.38
10/9/2008,30.953,0,29.5,17.5,2.45,1.65,3.39
10/10/2008,31.122,0,28.5,17.5,2.6,1.72,3.4
10/11/2008,31.249,1.8,29.5,17,2.78,1.86,0
10/12/2008,31.292,1.2,27,21.5,2.28,2.4,0
10/13/2008,31.334,2.9,28,23.5,1.33,1.87,3.4
10/14/2008,31.419,7,30,22,1.91,1.68,3.4
10/15/2008,31.631,36,29.5,20,1.68,1.86,3.4
10/16/2008,32.873,14.5,20.5,20.5,3.3,1.88,3.43
10/17/2008,33.716,0,25,18.5,2.39,1.76,3.45
10/18/2008,34.16,0,27.5,18,1.08,1.93,3.46
10/19/2008,34.471,0,27.5,13,2.5,2.4,3.46
10/20/2008,34.648,0,28.5,12.5,2.53,2.4,0
10/21/2008,34.781,0,27.5,12.5,2.36,1.95,3.47
10/22/2008,34.87,0,29.5,14.5,1.33,1.95,3.47
10/23/2008,34.959,0,22,15,3.26,1.97,3.47
10/24/2008,34.959,0,26,11.5,1.02,1.96,3.47
