Fecha,Precipitacion (mm),T_Max (C),T_Min (C)
2013-11-29,0.0,,
2013-11-30,0.0,,
2013-12-01,0.0,23.6,3.9
2013-12-02,0.0,29.9,6.2
2013-12-03,0.0,30.9,8.4
2013-12-04,0.0,31.8,10.1
2013-12-05,0.0,31.9,10.7
2013-12-06,0.0,20.6,6.8
2013-12-07,0.0,7.0,3.1
2013-12-08,0.0,19.6,4.0
2013-12-09,0.0,23.0,4.1
2013-12-10,0.0,15.9,8.5
2013-12-11,0.0,17.6,2.1
2013-12-12,0.0,14.7,6.0
2013-12-13,0.0,23.1,8.2
2013-12-14,0.0,22.0,8.8
2013-12-15,0.0,17.8,5.7
2013-12-16,0.0,21.4,0.5
2013-12-17,0.0,24.0,1.8
2013-12-18,0.0,21.2,3.0
2013-12-19,0.0,29.7,3.2
2013-12-20,0.0,30.0,7.6
2013-12-21,0.0,32.5,16.6
2013-12-22,0.0,26.4,13.0
2013-12-23,0.0,16.9,6.2
2013-12-24,0.0,15.4,0.8
2013-12-25,0.2,13.6,3.8
2013-12-26,11.8,12.6,8.5
2013-12-27,1.8,9.8,7.2
2013-12-28,0.4,15.2,8.0
2013-12-29,0.0,22.9,3.5
2013-12-30,14.8,16.9,7.2
2013-12-31,24.8,10.4,7.6
2016-02-01,0.0,,
2016-02-02,0.0,,
2016-02-03,0.0,,
2016-02-04,0.0,,
2016-02-05,0.0,,
2016-02-06,0.0,,
2016-02-07,0.0,,
2016-02-08,0.0,,
2016-02-09,0.0,,
2016-02-10,0.0,,
2016-02-11,0.0,,
2016-02-12,0.0,,
2016-02-13,0.0,,
2016-02-14,0.0,,
2016-02-15,0.0,,
2016-02-16,0.0,,
2016-02-17,0.0,,
2016-02-18,0.0,,
2016-02-19,0.0,,
2016-02-20,0.0,,
2016-02-21,0.0,,
2016-02-22,0.0,,
2016-02-23,0.0,,
2016-02-24,0.0,,
2016-02-25,0.6,26.7,5.9
2016-02-26,0.0,17.2,7.6
2016-02-27,0.0,17.0,12.0
2016-02-28,0.0,26.9,10.7
2016-02-29,0.0,30.5,12.1
2016-03-01,0.0,33.1,15.1
2016-03-02,5.4,27.4,14.6
2016-03-03,0.2,35.4,14.0
2016-03-04,0.0,24.3,18.1
2016-03-05,0.0,25.9,12.6
2016-03-06,0.0,25.0,17.1
2016-03-07,0.0,32.0,14.5
2016-03-08,0.0,31.7,13.6
2016-03-09,9.4,27.5,12.2
2016-03-10,2.8,19.0,9.8
2016-03-11,4.0,20.1,9.5
2016-03-12,0.0,29.3,9.0
2016-03-13,0.0,33.7,12.8
2016-03-14,0.0,35.4,13.6
2016-03-15,0.0,35.5,18.0
2016-03-16,0.0,29.2,18.2
2016-03-17,0.0,31.4,16.7
2016-03-18,0.0,31.9,16.3
2016-03-19,0.8,26.9,11.0
2016-03-20,0.2,14.6,8.7
2016-03-21,0.0,21.1,4.2
2016-03-22,0.0,30.3,6.6
2016-03-23,0.0,36.0,12.2
2016-03-24,0.0,26.5,18.4
2016-03-25,0.0,24.3,9.0
2016-03-26,0.0,24.4,11.0
2016-03-27,0.0,32.0,11.9
2016-03-28,5.800000000000001,24.1,17.3
2016-03-29,2.0,29.1,16.7
2016-03-30,0.0,30.7,15.8
2016-03-31,0.0,34.9,17.1
2016-04-01,0.0,32.4,17.7
2016-04-02,0.0,22.2,11.1
2016-04-03,0.0,25.7,8.6
2016-04-04,0.0,30.2,9.5
2016-04-05,0.0,29.1,11.6
2016-04-06,0.0,32.0,14.4
2016-04-07,0.0,27.1,15.5
2016-04-08,4.0,25.2,17.3
2016-04-09,4.0,22.5,16.9
2016-04-10,0.4,27.7,16.3
2016-04-11,0.0,33.1,15.8
2016-04-12,0.4,29.7,20.1
2016-04-13,1.6,22.2,18.6
2016-04-14,0.2,24.1,17.1
2016-04-15,0.0,22.8,16.5
2016-04-16,0.0,32.0,15.0
2016-04-17,0.0,34.3,15.4
2016-04-18,1.5999999999999999,31.3,16.1
2016-04-19,0.0,28.9,17.7
2016-04-20,7.0,26.0,16.2
2016-04-21,0.0,32.4,15.1
2016-04-22,0.0,29.1,18.1
2016-04-23,0.8,27.0,14.1
2016-04-24,9.399999999999999,32.7,15.1
2016-04-25,0.0,37.6,16.6
2016-04-26,0.0,38.2,17.7
2016-04-27,0.0,34.8,18.5
2016-04-28,0.0,34.5,17.8
2016-04-29,0.0,31.4,19.8
2016-04-30,0.0,34.4,17.3
2016-05-01,0.0,32.9,18.6
2016-05-02,8.8,29.6,15.4
2016-05-03,0.6000000000000001,20.0,14.0
2016-05-04,0.4,28.9,15.2
2016-05-05,0.0,31.8,14.9
2016-05-06,0.0,32.0,15.3
2016-05-07,0.4,28.8,15.2
2016-05-08,1.4000000000000001,31.4,16.6
2016-05-09,0.4,31.0,18.5
2016-05-10,0.0,37.8,17.1
2016-05-11,0.0,32.2,18.3
2016-05-12,0.0,32.8,18.7
2016-05-13,0.2,29.5,20.4
2016-05-14,1.6,32.3,17.3
2016-05-15,3.6,26.6,17.2
2016-05-16,27.2,33.8,16.3
2016-05-17,24.800000000000004,33.7,18.3
2016-05-18,24.799999999999997,24.4,18.9
2016-05-19,0.0,27.9,20.0
2016-05-20,4.199999999999999,24.3,19.5
2016-05-21,0.4,28.0,18.7
2016-05-22,0.0,30.2,22.2
2016-05-23,0.2,32.8,20.5
2016-05-24,0.2,33.4,22.0
2016-05-25,3.0,32.4,20.3
2016-05-26,0.4,35.0,18.9
2016-05-27,13.0,35.1,19.1
2016-05-28,0.0,30.8,18.4
2016-05-29,0.0,28.4,18.4
2016-05-30,0.2,29.5,20.0
2016-05-31,2.8,31.6,19.4
2016-06-01,2.0,31.8,18.6
2016-06-02,4.2,29.2,18.3
2016-06-03,0.0,30.3,17.3
2016-06-04,11.4,27.4,18.8
2016-06-05,11.000000000000002,28.3,18.3
2016-06-06,0.0,31.5,15.6
2016-06-07,0.0,33.1,16.0
2016-06-08,0.0,31.9,16.7
2016-06-09,0.0,30.0,18.4
2016-06-10,0.0,30.1,19.1
2016-06-11,0.0,29.2,20.6
2016-06-12,0.0,33.7,21.4
2016-06-13,0.0,34.4,20.4
2016-06-14,0.0,36.1,20.2
2016-06-15,0.0,34.2,18.4
2016-06-16,0.0,36.4,20.6
2016-06-17,0.0,34.8,21.5
2016-06-18,0.0,35.7,21.1
2016-06-19,0.0,33.2,19.0
2016-06-20,2.2,29.8,17.1
